:ID,title,codes,:LABEL
en114,"Trachoma dubium","",Item
en115,"Rickettsiosis due to Ehrlichia sennetsu","1C30-1C3Z",Item
en116,"Brill-Zinsser disease","",Item
en117,"Tsutsugamushi fever","",Item
en118,"Rocky Mountain spotted fever","",Item
en119,"Sao Paulo fever","",Item
en120,"Boutonneuse fever","",Item
en121,"Mediterranean tick fever","",Item
en122,"African tick typhus","",Item
en123,"Kenya tick typhus","",Item
en124,"North Asian tick fever","",Item
en125,"Siberian tick typhus","",Item
en126,"Queensland tick typhus","",Item
en127,"Kew Gardens spotted fever","",Item
en128,"Nine Mile fever","",Item
en129,"Infection due to Coxiella burnetii","",Item
en130,"Quadrilateral fever","",Item
en131,"chlamydial infection NOS","1C20-1C2Z",Item
en132,"rickettsial infection NOS","1C30-1C3Z",Item
en133,"spirochaetal infection NOS","1C10-1C4Z",Item
en134,"Mycetoma due to filamentous bacteria","",Item
en135,"Australian encephalitis","",Item
en136,"California meningoencephalitis","",Item
en137,"Encephalitis due to Lymphocytic choriomeningitis virus","1D60-1D6Z",Item
en138,"meningoencephalitis due to Lymphocytic choriomeningitis virus","1D60-1D6Z",Item
en139,"arachnoiditis bacterial","",Item
en140,"leptomeningitis bacterial","",Item
en141,"pachymeningitis bacterial","",Item
en142,"Myelitis due to human immunodeficiency disease","1C60-1C62.Z",Item
en143,"Dengue haemorrhagic fever Grade 1","",Item
en144,"Dengue fever without warning signs","",Item
en145,"Dengue haemorrhagic fever without warning signs","",Item
en146,"Dengue","1D20-1D2Z",Item
en147,"Oropouche fever","",Item
en148,"pappataci fever","",Item
en149,"phlebotomus fever","",Item
en150,"West Nile fever","",Item
en151,"Epidemic polyarthritis and exanthema","",Item
en152,"Ross River fever","",Item
en153,"Nephropathia epidemica","",Item
en154,"Mumps orchitis","",Item
en155,"mumps meningitis","",Item
en156,"Mumps encephalitis","",Item
en157,"mumps pancreatitis","",Item
en158,"Glandular fever","",Item
en159,"Gammaherpesviral mononucleosis","",Item
en160,"Bornholm disease","",Item
en161,"Acute adenoviral follicular conjunctivitis","",Item
en162,"Swimming-pool conjunctivitis","",Item
en163,"Variola","",Item
en164,"Postchickenpox encephalitis","",Item
en165,"Varicella encephalomyelitis","",Item
en166,"Zoster keratoconjunctivitis","",Item
en167,"Zoster conjunctivitis","",Item
en168,"Zoster keratitis","",Item
en169,"Zoster scleritis","",Item
en170,"Zoster infection of eyelid","",Item
en171,"Zoster oticus","",Item
en172,"Postherpetic neuralgia","",Item
en173,"Cold sore","",Item
en174,"Simian B disease","",Item
en175,"Encephalitis due to Rubella virus","",Item
en176,"Meningitis due to rubella virus","",Item
en177,"morbilli","",Item
en178,"Postmeasles meningitis","",Item
en179,"Slapped cheek syndrome","",Item
en180,"Hand, foot and mouth disease","",Item
en181,"Intestinal fungal infections","",Item
en182,"aspergilloma","",Item
en183,"Enterocolitis due to aspergillosis","",Item
en184,"Hepatic or hepatosplenic aspergillosis","",Item
en185,"Oesophageal aspergillosis","",Item
en186,"Aspergillus meningitis","",Item
en187,"Cerebral abscess due to Aspergillus species","",Item
en188,"Mycotic cerebral aneurysm due to Aspergillus species","",Item
en189,"Haemorrhagic cerebral infarction due to Aspergillus species","",Item
en190,"Fungus ball of the paranasal sinuses due to Aspergillus spp.","",Item
en191,"Chronic granulomatous Aspergillus rhinosinusitis","",Item
en192,"Pulmonary Aspergillus nodule","",Item
en193,"Simple pulmonary aspergilloma","",Item
en194,"Chronic cavitary pulmonary aspergillosis","",Item
en195,"CFPA - [chronic fibrosing pulmonary aspergillosis]","",Item
en196,"CNPA - [chronic necrotising pulmonary aspergillosis]","",Item
en197,"Subcutaneous mucoromycosis due to Basidiobolus ranarum","",Item
en198,"moniliasis","",Item
en199,"candidiasis","",Item
en200,"Candidosis of penis","",Item
en201,"Penile thrush","",Item
en202,"Coccidioidomycosis meningitis","",Item
en203,"Rhinoentomophthoromycosis","",Item
en204,"Cerebral cryptococcomata","",Item
en205,"Infections due to species of Epidermophyton, Microsporum and Trichophyton","",Item
en206,"Tinea capitis","",Item
en207,"Scalp ringworm","",Item
en208,"Onychomycosis due to dermatophyte","",Item
en209,"Tinea unguium","",Item
en210,"Ringworm of nails","",Item
en211,"Moccasin foot","",Item
en212,"Tinea pedis","",Item
en213,"Athlete's foot","",Item
en214,"Ringworm of foot","",Item
en215,"Dermatophytosis of perianal area","",Item
en216,"Tinea cruris","",Item
en217,"Ringworm of groin","",Item
en218,"Dermatophytosis of groin","",Item
en219,"Ringworm of perianal area","",Item
en220,"Tinea of perianal region","",Item
en221,"Mycetoma due to fungal infection","",Item
en222,"Lobo disease","",Item
en223,"Seborrhoeic folliculitis","",Item
en224,"Trichosporosis nodosa","",Item
en225,"Trichomycosis nodularis","",Item
en226,"Keratomycosis nigricans palmaris","",Item
en227,"Disseminated paracoccidioidomycosis with central nervous system involvement","",Item
en228,"Disseminated paracoccidioidomycosis without central nervous system involvement","",Item
en229,"Pneumocystis-associated pulmonary nodule","",Item
en230,"Pneumocystis colonization","",Item
en231,"Pneumocystis associated pneumothorax","",Item
en232,"Pneumocystis associated cysts or pneumatocoele","",Item
en233,"Clinically diagnosed malaria without parasitological confirmation","",Item
en234,"Protozoal intestinal infections","1A30-1A3Z",Item
en235,"Keratoconjunctivitis due to Acanthamoeba","",Item
en236,"Conjunctivitis due to Acanthamoeba","",Item
en237,"West African sleeping sickness","",Item
en238,"Infection due to Trypanosoma brucei gambiense","",Item
en239,"East African sleeping sickness","",Item
en240,"Infection due to Trypanosoma brucei rhodesiense","",Item
en241,"Piroplasmosis","",Item
en242,"American trypanosomiasis","",Item
en243,"infection due to Trypanosoma cruzi","",Item
en244,"Chagas' disease with myocarditis","",Item
en245,"Kala-azar","",Item
en246,"Leishmania braziliensis infection","",Item
en247,"Toxoplasma meningoencephalitis","",Item
en248,"Pulmonary toxoplasmosis","",Item
en249,"Toxoplasma oculopathy","",Item
en250,"Infection due to Anisakis larvae","",Item
en251,"Guinea worm infestation","",Item
en252,"Pinworm infection","",Item
en253,"Threadworm infection","",Item
en254,"Oxyuriasis","",Item
en255,"Eye worm disease of Africa","",Item
en256,"Loa loa infestation","",Item
en257,"Calabar swelling","",Item
en258,"Bancroftian filariasis","",Item
en259,"Wandering swelling","",Item
en260,"Hook-worm infestation by Ancylostoma","",Item
en261,"Infection due to Necator americanus","",Item
en262,"Ocular onchocerciasis","",Item
en263,"Cutaneous onchocerciasis","",Item
en264,"Toxocara infestation","",Item
en265,"Trichocephaliasis","",Item
en266,"cysticerciasis infection due to larval form of Taenia solium","",Item
en267,"Hydatidosis","",Item
en268,"Larval diphyllobothriasis","",Item
en269,"Spirometrosis","",Item
en270,"Taenia solium taeniasis","",Item
en271,"Infection due to adult tapeworm Taenia saginata","",Item
en272,"Taenia saginata taeniasis","",Item
en273,"Chinese liver fluke disease","",Item
en274,"Oriental liver fluke disease","",Item
en275,"Infection due to Clonorchis sinensis","",Item
en276,"Lancet fluke infection","",Item
en277,"Sheep liver fluke disease","",Item
en278,"lung fluke disease","",Item
en279,"infection due to paragonimus species","",Item
en280,"Infestation due to Paragonimus species","",Item
en281,"snail fever","",Item
en282,"Asiatic schistosomiasis","",Item
en283,"infestation by larvae of flies","",Item
en284,"Wound myiasis","",Item
en285,"Internal hirudiniasis","1F60-1F9Z",Item
en286,"Infestation by crab lice","",Item
en287,"Inherited cancer-predisposing syndromes","",Item
en288,"glioblastoma NOS","",Item
en289,"Vestibular schwannoma","",Item
en290,"Symptoms of blood, blood-forming organs, or the immune system","MA00-MA0Y",Item
en291,"chronic idiopathic myelofibrosis","",Item
en292,"Maculopapular cutaneous mastocytosis","",Item
en293,"5 q- syndrome","",Item
en294,"Chronic monocytic leukaemia","",Item
en295,"therapy-related myelodysplastic syndromes","",Item
en296,"AML M5a","",Item
en297,"AML M5b","",Item
en298,"Erythroleukaemia","",Item
en299,"acute myeloid leukaemia M6 (a)(b)","",Item
en300,"Acute myeloid leukaemia, M7","",Item
en301,"Acute megakaryocytic leukaemia","",Item
en302,"Acute myelofibrosis","",Item
en303,"Chloroma","",Item
en304,"Granulocytic sarcoma","",Item
en305,"Blastic NK-cell lymphoma","",Item
en306,"follicular lymphoma with or without diffuse areas","",Item
en307,"Mature T-cell or NK-cell neoplasms","2A90-2B2Z",Item
en308,"Small cell B-cell lymphoma","",Item
en309,"Lymphoplasmacytic leukaemia","",Item
en310,"Leukaemic reticuloendotheliosis","",Item
en311,"Kahler disease","",Item
en312,"Myelomatosis","",Item
en313,"Medullary plasmacytoma","",Item
en314,"multiple myeloma","",Item
en315,"Solitary myeloma","",Item
en316,"IPSID - [Immunoproliferative small intestinal disease]","",Item
en317,"Franklin disease","",Item
en318,"primary macroglobulinaemia","",Item
en319,"Waldenstr?m macroglobulinaemia","",Item
en320,"Waldenstr?m macroglobulinaemia without mention of remission","",Item
en321,"Small cell mantle cell lymphoma","",Item
en322,"Classical mantle cell lymphoma","",Item
en323,"Blastoid mantle cell lymphoma","",Item
en324,"Pleomorphic mantle cell lymphoma","",Item
en325,"Marginal zone-like mantle cell lymphoma","",Item
en326,"��Burkitt-like�� lymphoma","",Item
en327,"Enteropathy type intestinal T-cell lymphoma","",Item
en328,"Intestinal T-cell lymphoma","",Item
en329,"AILD - [angioimmunoblastic lymphadenopathy with dysproteinaemia]","",Item
en330,"Folliculotropic mycosis fungoides","",Item
en331,"Pagetoid reticulosis","",Item
en332,"Granulomatous slack skin","",Item
en333,"Primary cutaneous anaplastic large-cell lymphoma","",Item
en334,"Primary cutaneous CD30+large T-cell lymphoma","",Item
en335,"Hodgkin disease","",Item
en336,"Classical Hodgkin lymphoma, type not specified","",Item
en337,"Malignant Histiocytosis","",Item
en338,"Histiocytosis X","",Item
en339,"PTLD - [Post transplant lymphoproliferative disorder]","",Item
en340,"malignant fibrous histiocytoma of skin","",Item
en341,"Kupffer cell sarcoma of liver","",Item
en342,"Neoplasms of haematopoietic or lymphoid tissues","2A20-2B3Z",Item
en343,"Malignant neoplasm of skin of lip","2C30-2C3Z",Item
en344,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en345,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en346,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en347,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en348,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en349,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en350,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en351,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en352,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en353,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en354,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en355,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en356,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en357,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en358,"Malignant neoplasm metastasis in digestive system","2D80-2D8Z",Item
en359,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en360,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en361,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en362,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en363,"carcinoid and other malignant neuroendocrine neoplasms","",Item
en364,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en365,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en366,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en367,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en368,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en369,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en370,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en371,"Hepatocholangiocarcinoma","",Item
en372,"Malignant neoplasm of skin of nose","2C30-2C3Z",Item
en373,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en374,"malignant neoplasm of skin of (external) ear","2C30-2C3Z",Item
en375,"malignant neoplasm of bone of ear (meatus)","2B50-2B5Z",Item
en376,"malignant neoplasm of cartilage of ear","2B50-2B5Z",Item
en377,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en378,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en379,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en380,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en381,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en382,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en383,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en384,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en385,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en386,"Multifocal basal cell carcinoma","",Item
en387,"Primary cutaneous mucinous carcinoma","",Item
en388,"Aggressive digital papillary adenocarcinoma","",Item
en389,"Primary cutaneous adenoid cystic carcinoma","",Item
en390,"Apocrine carcinoma","",Item
en391,"Sebaceous carcinoma of skin","",Item
en392,"Appendageal carcinoma of skin","",Item
en393,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en394,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en395,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en396,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en397,"malignant neoplasm of connective tissue of breast","",Item
en398,"Malignant neoplasm of skin of breast","2C30-2C3Z",Item
en399,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en400,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en401,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en402,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en403,"Malignant neoplasm of female genital organs whose point of origin cannot be classified to any other existing entity","",Item
en404,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en405,"Malignant dysgerminomatous germ cell tumour of ovary","",Item
en406,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en407,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en408,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en409,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en410,"Malignant trophoblastic tumour of testis","",Item
en411,"Teratocarcinoma of testis","",Item
en412,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en413,"Melanoma of skin of penis","",Item
en414,"Melanoma of mucocutaneous epithelium of penis","",Item
en415,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en416,"malignant neoplasm of skin of scrotum","",Item
en417,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en418,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en419,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en420,"malignant neoplasm of pelviureteric junction","",Item
en421,"malignant neoplasm of renal calyces","",Item
en422,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en423,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en424,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en425,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en426,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en427,"Malignant neoplasm of skin of eyelid","2C30-2C3Z",Item
en428,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en429,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en430,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en431,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en432,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en433,"malignant neoplasm of orbital bone","2B50-2B5Z",Item
en434,"Malignant neoplasm of eyeball","",Item
en435,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en436,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en437,"anaplastic carcinoma of thyroid gland","",Item
en438,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en439,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en440,"Primary site unknown","",Item
en441,"Malignant mesenchymal neoplasms","2B50-2B5Z",Item
en442,"Neoplasms of haematopoietic or lymphoid tissues","2A20-2B3Z",Item
en443,"Malignant neoplasm metastasis in colon","",Item
en444,"Malignant neoplasm metastasis in rectum","",Item
en445,"moderate cervical dysplasia","",Item
en446,"severe cervical dysplasia and carcinoma in-situ","",Item
en447,"moderate vaginal dysplasia","",Item
en448,"severe vaginal dysplasia and carcinoma in-situ","",Item
en449,"Bowen disease of skin of penis","",Item
en450,"Penile intraepithelial neoplasia of inner preputial epithelium","",Item
en451,"Penile intraepithelial neoplasia of glans penis","",Item
en452,"high grade prostatic intraepithelial neoplasia","",Item
en453,"Frontalis-associated lipoma","",Item
en454,"Infiltrating lipoma of soft tissue","",Item
en455,"Intramuscular lipoma of soft tissue","",Item
en456,"Strawberry naevus","",Item
en457,"Keratocystic odontogenic tumour","",Item
en458,"fibromyoma of uterus","",Item
en459,"Pedunculated leiomyoma","",Item
en460,"Parasitic leiomyoma","",Item
en461,"Leiomyoma of corpus uteri","",Item
en462,"Leiomyoma of cervix uteri","",Item
en463,"Benign neoplasm of skin of lip","2F20-2F2Z",Item
en464,"benign neoplasm of submandibular gland","",Item
en465,"benign neoplasm of sublingual gland","",Item
en466,"Benign neoplasm of perianal skin","2F20-2F2Z",Item
en467,"Benign neoplasm of anal margin","2F20-2F2Z",Item
en468,"Benign neoplasm of anal skin","2F20-2F2Z",Item
en469,"Islet cell tumour","",Item
en470,"benign neoplasm of islets of Langerhans","",Item
en471,"Mole","",Item
en472,"Pigmented naevus","",Item
en473,"Benign melanocytic naevus","",Item
en474,"Melanocytic naevus with mild to moderate dysplasia","",Item
en475,"Dysplastic naevus, unspecified","",Item
en476,"Tardive congenital melanocytic naevus","",Item
en477,"Basal cell papilloma","",Item
en478,"Seborrheic wart","",Item
en479,"Histiocytoma","",Item
en480,"Sclerosing haemangioma","",Item
en481,"Subepidermal nodular fibrosis","",Item
en482,"Campbell de Morgan spot","",Item
en483,"Senile angioma","",Item
en484,"Lobular capillary haemangioma of skin","",Item
en485,"Benign neoplasm of skin of breast","2F20-2F2Z",Item
en486,"Benign neoplasm of skin of female genital organs","",Item
en487,"Mild vaginal dysplasia and human papilloma virus","",Item
en488,"Benign neoplasm of skin of male genital organs","",Item
en489,"Benign neoplasm of skin of eyelid","2F20-2F2Z",Item
en490,"Benign neoplasm of eyeball","",Item
en491,"Muscular neoplasm of unknown behaviour","",Item
en492,"Complications of pregnancy, childbirth and the puerperium","JA00-JB6Z",Item
en493,"Diseases of the immune system","4A00-4B4Z",Item
en494,"Certain conditions originating in the perinatal period","KA00-KD5Z",Item
en495,"Injury, poisoning or certain other consequences of external causes","NA00-NF2Z",Item
en496,"Human immunodeficiency virus disease","1C60-1C62.Z",Item
en497,"Endocrine, nutritional or metabolic diseases","5A00-5D46",Item
en498,"Congenital malformations, deformations and chromosomal abnormalities","LA00-LD9Z",Item
en499,"Neoplasms of haematopoietic or lymphoid tissues","2A20-2B3Z",Item
en500,"Symptoms, signs or clinical findings of blood, blood-forming organs, or the immune system","MA00-MA3Y",Item
en501,"Anaemia, unspecified","",Item
en502,"Congenital nutritional vitamin B12 deficiency due to maternal vitamin B12 deficiency","",Item
en503,"Haemolytic anaemia due to vitamin E deficiency","",Item
en504,"anaemia due to 6-phosphogluconate dehydrogenase deficiency","",Item
en505,"anaemia due to Gluthatione synthetase deficiency","",Item
en506,"anaemia due to gamma-glutamylcysteine synthetase deficiency","",Item
en507,"anaemia due to haemolytic nonspherocytic (hereditary), type 1","",Item
en508,"Common hereditary elliptocytosis","",Item
en509,"Homozygous hereditary elliptocytosis","",Item
en510,"Spherocytic elliptocytosis","",Item
en511,"Hereditary pyropoikilocytosis","",Item
en512,"Beta thalassaemia minor","",Item
en513,"Beta thalassaemia intermedia","",Item
en514,"Dominant beta thalassaemia","",Item
en515,"Beta thalassaemia major","",Item
en516,"Hb-SS disease with crisis","",Item
en517,"Sickle cell Hb-C disease without crisis","",Item
en518,"Sickle cell thalassaemia without crisis","",Item
en519,"Blackfan-Diamond anaemia","",Item
en520,"Medullary hypoplasia","",Item
en521,"Panmyelophthisis","",Item
en522,"familial hypoplastic anaemia","",Item
en523,"Constitutional medullar aplasia","",Item
en524,"Fanconi anaemia","",Item
en525,"Acquired medullar aplasia","",Item
en526,"Sex-linked hypochromic sideroblastic anaemia","",Item
en527,"X-linked sideroblastic anaemia, pyridoxine-responsive","",Item
en528,"Autosomal recessive sideroblastic anaemia, pyridoxine-refractory","",Item
en529,"Toxic methaemoglobinaemia","",Item
en530,"Congenital non-inherited haemorrhagic condition","",Item
en531,"Severe haemophilia A","",Item
en532,"Moderately severe haemophilia A","",Item
en533,"Mild haemophilia A","",Item
en534,"Symptomatic form of haemophilia A in female carriers","",Item
en535,"PTC - [plasma thromboplastin component] deficiency","",Item
en536,"Severe haemophilia B","",Item
en537,"Moderately severe haemophilia B","",Item
en538,"Mild haemophilia B","",Item
en539,"Symptomatic form of haemophilia B in female carriers","",Item
en540,"Factor VIII deficiency with vascular defect","",Item
en541,"Vascular haemophilia","",Item
en542,"Angiohaemophilia","",Item
en543,"Von Willebrand disease type 1","",Item
en544,"Von Willebrand disease type 2","",Item
en545,"Von Willebrand disease type 3","",Item
en546,"Acquired von Willebrand disease or syndrome","3B20-3B2Y",Item
en547,"Prothrombin gene mutation","",Item
en548,"Factor V defects","",Item
en549,"antithrombin deficiency","",Item
en550,"Thrombocytopathy","",Item
en551,"Hereditary thrombocytosis","",Item
en552,"Autosomal dominant thrombocytosis","",Item
en553,"X-linked thrombocytosis","",Item
en554,"Idiopathic haemorrhagic thrombocythaemia","",Item
en555,"septic spleen","",Item
en556,"Complications of pregnancy, childbirth and the puerperium","JA00-JB6Z",Item
en557,"Neoplasms","2A00-2F9Z",Item
en558,"Developmental anomalies","LA00-LD9Z",Item
en559,"Organ specific autoimmune disorders","",Item
en560,"Symptoms, signs or clinical findings of blood, blood-forming organs, or the immune system","MA00-MA3Y",Item
en561,"Congenital dysphagocytosis","",Item
en562,"Agammaglobulinaemia with immunoglobulin-bearing B-lymphocytes","",Item
en563,"Kappa light chain deficiency","",Item
en564,"Histiocytoses of mononuclear phagocytes","",Item
en565,"Human immunodeficiency virus disease","1C60-1C62.Z",Item
en566,"Myasthenia gravis or certain specified neuromuscular junction disorders","8C60-8C6Z",Item
en567,"Myasthenia gravis or certain specified neuromuscular junction disorders","8C60-8C6Z",Item
en568,"Myasthenia gravis or certain specified neuromuscular junction disorders","8C60-8C6Z",Item
en569,"Systemic scleroderma","",Item
en570,"Benign dermal lymphocytic or lymphoplasmacytic infiltrations or proliferations","EE90-EE91",Item
en571,"Kawasaki syndrome","",Item
en572,"Henoch-Sch?nlein purpura","",Item
en573,"Microscopic polyarteritis","",Item
en574,"Wegener granulomatosis","",Item
