:START_ID,role,detail,:END_ID,:TYPE
150,items,"HIV disease clinical stage 1 associated with tuberculosis",420,CODED_ELSEWHERE
150,items,"HIV disease clinical stage 2 associated with tuberculosis",421,CODED_ELSEWHERE
150,items,"HIV disease clinical stage 3 associated with tuberculosis",422,CODED_ELSEWHERE
150,items,"HIV disease clinical stage 4 associated with tuberculosis",423,CODED_ELSEWHERE
150,items,"Human immunodeficiency virus disease associated with tuberculosis",419,CODED_ELSEWHERE
156,items,"Tuberculous leptomeningitis",en46,INCLUSIONS
158,items,"Tuberculoma of meninges",en47,INCLUSIONS
165,items,"Tuberculous episcleritis",en48,INCLUSIONS
165,items,"lupus vulgaris of eyelid",180,EXCLUSIONS
166,items,"tuberculosis of skin of external ear",180,EXCLUSIONS
166,items,"Tuberculous mastoiditis",173,EXCLUSIONS
171,items,"Tuberculosis of adrenal glands",en49,INCLUSIONS
171,items,"Tuberculosis of thyroid gland",en50,INCLUSIONS
171,items,"Tuberculosis of pituitary gland",en51,INCLUSIONS
172,items,"Mycobacterial infection of vertebra",9266,CODED_ELSEWHERE
173,items,"Tuberculosis of hip",en52,INCLUSIONS
173,items,"Tuberculosis of knee",en53,INCLUSIONS
173,items,"Tuberculous mastoiditis",en54,INCLUSIONS
173,items,"Tuberculosis of vertebral column",en55,INCLUSIONS
173,items,"Tuberculous necrosis of bone",en56,INCLUSIONS
173,items,"Tuberculous osteitis",en57,INCLUSIONS
173,items,"Tuberculous osteomyelitis",en58,INCLUSIONS
173,items,"Tuberculous synovitis",en59,INCLUSIONS
173,items,"Tuberculous tenosynovitis",en60,INCLUSIONS
173,items,"Tuberculous arthritis",en61,INCLUSIONS
178,items,"Tuberculous adenitis",en62,INCLUSIONS
178,items,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically or histologically",152,EXCLUSIONS
178,items,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",153,EXCLUSIONS
180,items,"Tuberculids",en63,EXCLUSIONS
180,items,"Skin complications of BCG immunisation",8240,EXCLUSIONS
180,items,"Acute miliary cutaneous tuberculosis",183,CODED_ELSEWHERE
188,items,"Infection due to Mycobacterium leprae",en64,INCLUSIONS
196,items,"Leprosy",188,EXCLUSIONS
196,items,"Tuberculosis",en65,EXCLUSIONS
197,items,"Pulmonary infection due to Mycobacterium avium-intracellulare complex",en66,INCLUSIONS
197,items,"Pulmonary infection due to Mycobacterium kansasii",en67,INCLUSIONS
197,items,"Pulmonary infection due to Mycobacterium xenopi",en68,INCLUSIONS
197,items,"Pulmonary infection due to Mycobacterium malmoense",en69,INCLUSIONS
199,items,"Leprosy",188,EXCLUSIONS
199,items,"Tuberculosis",en70,EXCLUSIONS
209,items,"Streptococcal tonsillitis",6873,CODED_ELSEWHERE
209,items,"Rheumatic myocarditis",6484,CODED_ELSEWHERE
209,items,"Chronic rheumatic pericarditis",6377,CODED_ELSEWHERE
209,items,"Acute staphylococcal tonsillitis",6874,CODED_ELSEWHERE
210,items,"Erythema marginatum rheumaticum",8235,CODED_ELSEWHERE
215,items,"Rheumatic mitral valve stenosis",6393,EXCLUSIONS
215,items,"Rheumatic mitral valve insufficiency",6397,EXCLUSIONS
215,items,"Rheumatic mitral valve prolapse",6401,EXCLUSIONS
215,items,"Rheumatic mitral stenosis with insufficiency",6406,EXCLUSIONS
215,items,"Rheumatic aortic valve stenosis",6415,EXCLUSIONS
215,items,"Rheumatic aortic valve insufficiency",6419,EXCLUSIONS
215,items,"Rheumatic aortic stenosis with insufficiency",6423,EXCLUSIONS
215,items,"Rheumatic tricuspid valve stenosis",6432,EXCLUSIONS
215,items,"Rheumatic tricuspid valve insufficiency",6436,EXCLUSIONS
215,items,"Rheumatic tricuspid valve stenosis with insufficiency",6440,EXCLUSIONS
215,items,"Rheumatic pulmonary valve stenosis",6449,EXCLUSIONS
215,items,"Rheumatic pulmonary valve insufficiency",6453,EXCLUSIONS
215,items,"Rheumatic pulmonary valve stenosis with insufficiency",6457,EXCLUSIONS
224,items,"Huntington chorea",4521,EXCLUSIONS
225,items,"Scarlatina NOS",en71,INCLUSIONS
225,items,"streptococcal sore throat",226,EXCLUSIONS
225,items,"Staphylococcal scarlatina",8238,EXCLUSIONS
226,items,"Streptococcal sore throat",en72,INCLUSIONS
226,items,"Scarlet fever",225,EXCLUSIONS
227,items,"endotoxic shock NOS",1009,EXCLUSIONS
230,items,"Streptococcal meningitis",en73,INCLUSIONS
231,items,"Staphylococcal meningitis",en74,INCLUSIONS
234,items,"Acute bacterial paronychia",8662,CODED_ELSEWHERE
236,items,"postpartum or puerperal erysipelas",10528,EXCLUSIONS
241,items,"Orbital cellulitis",5489,EXCLUSIONS
241,items,"Cellulitis of external ear",6107,EXCLUSIONS
241,items,"anal cellulitis",7837,EXCLUSIONS
241,items,"vulvar cellulitis",9491,EXCLUSIONS
241,items,"Cellulitis of penis",9762,EXCLUSIONS
241,items,"Inflammatory disorders of scrotum",9777,EXCLUSIONS
241,items,"perirectal cellulitis",7804,EXCLUSIONS
241,items,"Superficial incisional site infection",15795,EXCLUSIONS
242,items,"Orbital cellulitis",5489,EXCLUSIONS
242,items,"Cellulitis of external ear",6107,EXCLUSIONS
242,items,"anal cellulitis",7837,EXCLUSIONS
242,items,"vulvar cellulitis",9491,EXCLUSIONS
242,items,"Cellulitis of penis",9762,EXCLUSIONS
242,items,"Inflammatory disorders of scrotum",9777,EXCLUSIONS
242,items,"perirectal cellulitis",7804,EXCLUSIONS
242,items,"Superficial incisional site infection",15795,EXCLUSIONS
247,items,"Neonatal necrotising fasciitis",249,EXCLUSIONS
247,items,"Neonatal streptococcal necrotising fasciitis",249,CODED_ELSEWHERE
248,items,"Neonatal necrotising fasciitis",249,EXCLUSIONS
252,items,"impetigo herpetiformis",8301,EXCLUSIONS
252,items,"Staphylococcal scalded skin syndrome",8237,EXCLUSIONS
253,items,"Neonatal bullous impetigo",8810,CODED_ELSEWHERE
261,items,"Neonatal ecthyma gangrenosum",8810,CODED_ELSEWHERE
272,items,"Sacrococcygeal pilonidal abscess",8802,CODED_ELSEWHERE
272,items,"Infected epidermoid cyst",8990,CODED_ELSEWHERE
277,items,"Sodoku",en75,INCLUSIONS
278,items,"Epidemic arthritic erythema",en76,INCLUSIONS
278,items,"Haverhill fever",en77,INCLUSIONS
278,items,"Streptobacillary rat-bite fever",en78,INCLUSIONS
280,items,"Infection due to Pseudomonas mallei",en79,INCLUSIONS
288,items,"deer-fly fever",en80,INCLUSIONS
288,items,"rabbit fever",en81,INCLUSIONS
288,items,"infection due to Francisella tularensis",en82,INCLUSIONS
292,items,"Malta fever",en83,INCLUSIONS
292,items,"Mediterranean fever",en84,INCLUSIONS
292,items,"undulant fever",en85,INCLUSIONS
292,items,"Spondylitis in brucellosis",9087,CODED_ELSEWHERE
293,items,"Sepsis due to Erysipelothrix",1008,CODED_ELSEWHERE
295,items,"Cat-scratch fever",en86,INCLUSIONS
295,items,"Rochalimaea henselae infection",en87,INCLUSIONS
297,items,"Enteritis due to Yersinia enterocolitica",16,EXCLUSIONS
297,items,"Plague",281,EXCLUSIONS
299,items,"Bacterial duodenitis",7583,CODED_ELSEWHERE
299,items,"Axillary trichomycosis",415,CODED_ELSEWHERE
300,items,"Actinomycetoma",414,EXCLUSIONS
300,items,"Myelitis associated with actinomyces",488,CODED_ELSEWHERE
307,items,"Cat-scratch disease",295,CODED_ELSEWHERE
311,items,"Quintan fever",en88,INCLUSIONS
318,items,"Obstetrical tetanus",319,EXCLUSIONS
318,items,"Tetanus neonatorum",320,EXCLUSIONS
323,items,"Diphtheritic membranous angina",en89,INCLUSIONS
328,items,"Diphtheritic laryngotracheitis",en90,INCLUSIONS
329,items,"Erythrasma",415,EXCLUSIONS
332,items,"Systemic Haemophilus aegyptius infection",en91,INCLUSIONS
335,items,"listerial foodborne infection",en92,INCLUSIONS
335,items,"Neonatal listeriosis",10846,CODED_ELSEWHERE
342,items,"Actinomycetoma due to Nocardia species",414,EXCLUSIONS
345,items,"Meningococcal infection",en93,INCLUSIONS
345,items,"Meningococcal encephalitis",469,CODED_ELSEWHERE
346,items,"Meningitis due to Neisseria meningitidis",en94,INCLUSIONS
347,items,"Meningococcal haemorrhagic adrenalitis",en95,INCLUSIONS
355,items,"Chancre of yaws",en96,INCLUSIONS
355,items,"Primary framboesia",en97,INCLUSIONS
358,items,"Yaws without clinical manifestations, with positive serology",en98,INCLUSIONS
360,items,"Primary chancre of pinta",en99,INCLUSIONS
361,items,"Pintids",en100,INCLUSIONS
362,items,"Hypomelanosis due to late pinta",en101,INCLUSIONS
362,items,"Cicatrical cutaneous late pinta",en102,INCLUSIONS
364,items,"Bejel",en103,INCLUSIONS
364,items,"Endemic syphilis",en104,INCLUSIONS
364,items,"Njovera",en105,INCLUSIONS
366,items,"Erythema migrans",en106,INCLUSIONS
370,items,"Borrelia burgdorferi dacryoadenitis",5457,CODED_ELSEWHERE
377,items,"Fusospirochaetal gangrene",en107,INCLUSIONS
379,items,"Relapsing fever due to any Borrelia species other than Borrelia recurrentis",en108,INCLUSIONS
380,items,"Relapsing fever due to Borrelia recurrentis",en109,INCLUSIONS
382,items,"Paratrachoma",en110,INCLUSIONS
384,items,"Psittacosis",en111,INCLUSIONS
384,items,"Ornithosis",en112,INCLUSIONS
384,items,"Parrot fever",en113,INCLUSIONS
384,items,"Pneumonia in chlamydia psittaci infection",7025,CODED_ELSEWHERE
386,items,"Trachoma dubium",en114,INCLUSIONS
392,items,"Trench fever",311,CODED_ELSEWHERE
393,items,"Rickettsiosis due to Ehrlichia sennetsu",en115,EXCLUSIONS
395,items,"Brill-Zinsser disease",en116,INCLUSIONS
397,items,"Tsutsugamushi fever",en117,INCLUSIONS
401,items,"Rocky Mountain spotted fever",en118,INCLUSIONS
401,items,"Sao Paulo fever",en119,INCLUSIONS
402,items,"Boutonneuse fever",en120,INCLUSIONS
402,items,"Mediterranean tick fever",en121,INCLUSIONS
402,items,"African tick typhus",en122,INCLUSIONS
402,items,"Kenya tick typhus",en123,INCLUSIONS
403,items,"North Asian tick fever",en124,INCLUSIONS
403,items,"Siberian tick typhus",en125,INCLUSIONS
404,items,"Queensland tick typhus",en126,INCLUSIONS
407,items,"Kew Gardens spotted fever",en127,INCLUSIONS
408,items,"Nine Mile fever",en128,INCLUSIONS
408,items,"Infection due to Coxiella burnetii",en129,INCLUSIONS
408,items,"Quadrilateral fever",en130,INCLUSIONS
412,items,"meningococcal infection NOS",345,EXCLUSIONS
412,items,"chlamydial infection NOS",en131,EXCLUSIONS
412,items,"rickettsial infection NOS",en132,EXCLUSIONS
412,items,"spirochaetal infection NOS",en133,EXCLUSIONS
412,items,"Acute meningococcaemia",349,CODED_ELSEWHERE
412,items,"Disseminated gonococcal infection",124,CODED_ELSEWHERE
414,items,"Mycetoma due to filamentous bacteria",en134,INCLUSIONS
414,items,"Eumycetoma",794,EXCLUSIONS
419,items,"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",10605,CODED_ELSEWHERE
420,items,"Human immunodeficiency virus disease associated with generalised lymphadenopathy",438,CODED_ELSEWHERE
420,items,"Acute human immunodeficiency virus infection syndrome",438,CODED_ELSEWHERE
421,items,"Hairy leukoplakia",7239,CODED_ELSEWHERE
421,items,"HIV-associated immune reconstitution inflammatory syndrome",2844,CODED_ELSEWHERE
421,items,"Skin disorders associated with Human immunodeficiency virus infection",439,CODED_ELSEWHERE
421,items,"Herpes resulting from human immunodeficiency virus disease",439,CODED_ELSEWHERE
421,items,"Human immunodeficiency virus disease associated with mycosis classified elsewhere",439,CODED_ELSEWHERE
422,items,"Human immunodeficiency virus disease associated with haematological or immunological abnormalities",440,CODED_ELSEWHERE
422,items,"Human immunodeficiency virus disease associated with lymphoid interstitial pneumonitis",440,CODED_ELSEWHERE
422,items,"Human immunodeficiency virus disease enteritis",440,CODED_ELSEWHERE
422,items,"Gastritis due to human immunodeficiency virus disease",440,CODED_ELSEWHERE
422,items,"Myelitis due to Human immunodeficiency virus",440,CODED_ELSEWHERE
422,items,"Meningitis due to human immunodeficiency virus",440,CODED_ELSEWHERE
422,items,"HIV disease resulting in candidosis classified elsewhere",440,CODED_ELSEWHERE
422,items,"HIV disease resulting in cytomegaloviral disease",440,CODED_ELSEWHERE
423,items,"Dementia due to human immunodeficiency virus",4345,CODED_ELSEWHERE
423,items,"HIV retinitis",5734,CODED_ELSEWHERE
423,items,"HIV - [human immunodeficiency virus] disease associated with Burkitt lymphoma",441,CODED_ELSEWHERE
423,items,"Human immunodeficiency virus disease associated with other types of non-Hodgkin lymphoma",441,CODED_ELSEWHERE
423,items,"Human immunodeficiency virus disease associated with other malignant neoplasms of lymphoid, haematopoietic or related tissue",441,CODED_ELSEWHERE
423,items,"Human immunodeficiency virus disease associated with multiple malignant neoplasms",441,CODED_ELSEWHERE
423,items,"Human immunodeficiency virus disease associated with encephalopathy",441,CODED_ELSEWHERE
423,items,"Human immunodeficiency virus disease associated with wasting syndrome",441,CODED_ELSEWHERE
423,items,"Oesophagitis associated with human immunodeficiency virus disease",7458,CODED_ELSEWHERE
423,items,"HIV or AIDS vacuolar myelopathy",4672,CODED_ELSEWHERE
428,items,"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",10605,CODED_ELSEWHERE
429,items,"Human immunodeficiency virus disease associated with generalised lymphadenopathy",438,CODED_ELSEWHERE
429,items,"Acute human immunodeficiency virus infection syndrome",438,CODED_ELSEWHERE
430,items,"Hairy leukoplakia",7239,CODED_ELSEWHERE
430,items,"HIV-associated immune reconstitution inflammatory syndrome",2844,CODED_ELSEWHERE
430,items,"Skin disorders associated with Human immunodeficiency virus infection",439,CODED_ELSEWHERE
430,items,"Herpes resulting from human immunodeficiency virus disease",439,CODED_ELSEWHERE
430,items,"Human immunodeficiency virus disease associated with mycosis classified elsewhere",439,CODED_ELSEWHERE
431,items,"Human immunodeficiency virus disease associated with haematological or immunological abnormalities",440,CODED_ELSEWHERE
431,items,"Human immunodeficiency virus disease associated with lymphoid interstitial pneumonitis",440,CODED_ELSEWHERE
431,items,"Human immunodeficiency virus disease enteritis",440,CODED_ELSEWHERE
431,items,"Gastritis due to human immunodeficiency virus disease",440,CODED_ELSEWHERE
431,items,"Myelitis due to Human immunodeficiency virus",440,CODED_ELSEWHERE
431,items,"Meningitis due to human immunodeficiency virus",440,CODED_ELSEWHERE
431,items,"HIV disease resulting in candidosis classified elsewhere",440,CODED_ELSEWHERE
431,items,"HIV disease resulting in cytomegaloviral disease",440,CODED_ELSEWHERE
432,items,"Dementia due to human immunodeficiency virus",4345,CODED_ELSEWHERE
432,items,"HIV retinitis",5734,CODED_ELSEWHERE
432,items,"HIV - [human immunodeficiency virus] disease associated with Burkitt lymphoma",441,CODED_ELSEWHERE
432,items,"Human immunodeficiency virus disease associated with other types of non-Hodgkin lymphoma",441,CODED_ELSEWHERE
432,items,"Human immunodeficiency virus disease associated with other malignant neoplasms of lymphoid, haematopoietic or related tissue",441,CODED_ELSEWHERE
432,items,"Human immunodeficiency virus disease associated with multiple malignant neoplasms",441,CODED_ELSEWHERE
432,items,"Human immunodeficiency virus disease associated with encephalopathy",441,CODED_ELSEWHERE
432,items,"Human immunodeficiency virus disease associated with wasting syndrome",441,CODED_ELSEWHERE
432,items,"Oesophagitis associated with human immunodeficiency virus disease",7458,CODED_ELSEWHERE
432,items,"HIV or AIDS vacuolar myelopathy",4672,CODED_ELSEWHERE
437,items,"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",10605,CODED_ELSEWHERE
439,items,"Hairy leukoplakia",7239,CODED_ELSEWHERE
439,items,"HIV-associated immune reconstitution inflammatory syndrome",2844,CODED_ELSEWHERE
441,items,"Dementia due to human immunodeficiency virus",4345,CODED_ELSEWHERE
441,items,"HIV retinitis",5734,CODED_ELSEWHERE
441,items,"Oesophagitis associated with human immunodeficiency virus disease",7458,CODED_ELSEWHERE
441,items,"HIV or AIDS vacuolar myelopathy",4672,CODED_ELSEWHERE
443,items,"Progressive multifocal leukoencephalopathy",4671,CODED_ELSEWHERE
443,items,"Enteroviral exanthematous fever",724,CODED_ELSEWHERE
443,items,"Herpes simplex meningitis",704,CODED_ELSEWHERE
443,items,"Subacute sclerosing panencephalitis",4670,CODED_ELSEWHERE
443,items,"West Nile virus infection",540,CODED_ELSEWHERE
443,items,"Colorado tick fever",535,CODED_ELSEWHERE
443,items,"Zoster meningitis",683,CODED_ELSEWHERE
444,items,"Western equine encephalitis",447,CODED_ELSEWHERE
444,items,"Eastern equine encephalitis",448,CODED_ELSEWHERE
444,items,"Venezuelan equine encephalitis",456,CODED_ELSEWHERE
444,items,"Argentinian haemorrhagic fever",568,CODED_ELSEWHERE
444,items,"Bolivian haemorrhagic fever",569,CODED_ELSEWHERE
444,items,"Lassa fever",570,CODED_ELSEWHERE
444,items,"La Crosse encephalitis",457,CODED_ELSEWHERE
444,items,"Oropouche virus disease",537,CODED_ELSEWHERE
444,items,"Marburg disease",560,CODED_ELSEWHERE
444,items,"Ebola disease",553,CODED_ELSEWHERE
444,items,"Japanese encephalitis",449,CODED_ELSEWHERE
444,items,"St Louis encephalitis",450,CODED_ELSEWHERE
444,items,"Rocio viral encephalitis",451,CODED_ELSEWHERE
444,items,"Murray Valley encephalitis",452,CODED_ELSEWHERE
444,items,"Far Eastern tick-borne encephalitis",453,CODED_ELSEWHERE
444,items,"Central European tick-borne encephalitis",454,CODED_ELSEWHERE
444,items,"Encephalitis due to herpes simplex virus",705,CODED_ELSEWHERE
444,items,"Encephalitis due to mumps virus",590,CODED_ELSEWHERE
444,items,"Varicella encephalitis",676,CODED_ELSEWHERE
444,items,"Measles complicated by encephalitis",717,CODED_ELSEWHERE
444,items,"Sequelae of viral encephalitis",1020,CODED_ELSEWHERE
444,items,"California encephalitis",455,CODED_ELSEWHERE
444,items,"Encephalitis due to Arenavirus",583,CODED_ELSEWHERE
444,items,"Encephalitis due to Enterovirus",465,CODED_ELSEWHERE
444,items,"Encephalitis due to Rubella virus",711,CODED_ELSEWHERE
446,items,"Encephalitis due to classical rabies virus",444,CODED_ELSEWHERE
452,items,"Australian encephalitis",en135,INCLUSIONS
455,items,"California meningoencephalitis",en136,INCLUSIONS
458,items,"Meningitis due to mumps virus",589,CODED_ELSEWHERE
458,items,"Measles complicated by meningitis",718,CODED_ELSEWHERE
458,items,"Herpes simplex meningitis",704,CODED_ELSEWHERE
458,items,"Varicella meningitis",675,CODED_ELSEWHERE
458,items,"Meningitis due to human immunodeficiency virus",440,CODED_ELSEWHERE
458,items,"Meningitis due to rubella virus",711,CODED_ELSEWHERE
458,items,"Zoster meningitis",683,CODED_ELSEWHERE
458,items,"Viral meningitis due to Epstein-Barr virus",594,CODED_ELSEWHERE
458,items,"Viral meningitis due to Cytomegalovirus",601,CODED_ELSEWHERE
464,items,"Encephalitis due to Lymphocytic choriomeningitis virus",en137,EXCLUSIONS
464,items,"meningoencephalitis due to Lymphocytic choriomeningitis virus",en138,EXCLUSIONS
467,items,"Meningitis due to other and unspecified causes",485,CODED_ELSEWHERE
469,items,"Tuberculous meningoencephalitis",157,CODED_ELSEWHERE
471,items,"Meningoencephalitis due to Toxoplasma gondii",878,CODED_ELSEWHERE
471,items,"Encephalitis due to African trypanosomiasis",858,CODED_ELSEWHERE
471,items,"Encephalitis due to malaria",832,CODED_ELSEWHERE
471,items,"Encephalitis in Gambiense trypanosomiasis",852,CODED_ELSEWHERE
471,items,"Encephalitis in Rhodesiense trypanosomiasis",856,CODED_ELSEWHERE
471,items,"Encephalitis in Chagas disease",867,CODED_ELSEWHERE
475,items,"arachnoiditis bacterial",en139,INCLUSIONS
475,items,"leptomeningitis bacterial",en140,INCLUSIONS
475,items,"pachymeningitis bacterial",en141,INCLUSIONS
475,items,"bacterial: meningoencephalitis",469,EXCLUSIONS
475,items,"bacterial meningomyelitis",488,EXCLUSIONS
475,items,"Pachymeningitis",5327,CODED_ELSEWHERE
479,items,"Coccidioides meningitis",775,CODED_ELSEWHERE
479,items,"Candida meningitis",761,CODED_ELSEWHERE
479,items,"Aspergillus meningitis",733,CODED_ELSEWHERE
483,items,"Meningitis due to Cysticercosis",934,CODED_ELSEWHERE
483,items,"Eosinophilic meningitis due to Angiostrongylus cantonensis",888,CODED_ELSEWHERE
483,items,"Meningitis in Chagas disease",866,CODED_ELSEWHERE
483,items,"Meningitis due to African trypanosomiasis",858,CODED_ELSEWHERE
489,items,"Myelitis due to human immunodeficiency disease",en142,EXCLUSIONS
498,items,"Amoebic brain abscess",64,CODED_ELSEWHERE
498,items,"Tuberculous abscess of brain",161,CODED_ELSEWHERE
509,items,"Tuberculous granuloma of brain",159,CODED_ELSEWHERE
509,items,"Tuberculous granuloma of the meninges",160,CODED_ELSEWHERE
528,items,"Myelitis due to Dengue virus",489,CODED_ELSEWHERE
528,items,"Encephalitis due to Dengue fever",444,CODED_ELSEWHERE
529,items,"Dengue haemorrhagic fever Grade 1",en143,INCLUSIONS
529,items,"Dengue fever without warning signs",en144,INCLUSIONS
529,items,"Dengue haemorrhagic fever without warning signs",en145,INCLUSIONS
533,items,"Dengue",en146,CODED_ELSEWHERE
533,items,"Far Eastern tick-borne encephalitis",453,CODED_ELSEWHERE
533,items,"Central European tick-borne encephalitis",454,CODED_ELSEWHERE
533,items,"Western equine encephalitis",447,CODED_ELSEWHERE
533,items,"Eastern equine encephalitis",448,CODED_ELSEWHERE
533,items,"Japanese encephalitis",449,CODED_ELSEWHERE
533,items,"St Louis encephalitis",450,CODED_ELSEWHERE
533,items,"Rocio viral encephalitis",451,CODED_ELSEWHERE
533,items,"Murray Valley encephalitis",452,CODED_ELSEWHERE
533,items,"California encephalitis",455,CODED_ELSEWHERE
533,items,"Venezuelan equine encephalitis",456,CODED_ELSEWHERE
533,items,"La Crosse encephalitis",457,CODED_ELSEWHERE
